country_code,country_name,indicator_code,indicator_name,indicator_label,indicator_type,year,value,dataset_source
AFG,Afghanistan,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2010,122.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2012,117.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2014,153.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2016,137.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2018,155.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2010,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2012,146.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2014,158.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2016,155.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2018,160.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2007,7.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2010,40.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2012,42.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2014,34.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2016,35.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2018,30.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2010,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2012,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2014,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2016,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2018,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2010,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2012,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2014,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2016,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2018,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2007,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2010,104.0,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2012,99.0,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2014,137.0,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2016,138.0,World Bank LPI
